Congress,Session,Start Date,End Date,"Civilian, New nominations","Civilian, Confirmed","Civilian, Unconfirmed","Civilian, Withdrawn","Civilian, Rejected","Civilian, Returned","Air Force, New nominations","Air Force, Confirmed","Air Force, Unconfirmed","Air Force, Returned","Army, New nominations","Army, Confirmed","Army, Unconfirmed","Army, Returned","Navy, New nominations","Navy, Confirmed","Navy, Unconfirmed","Marine Corps, New nominations","Marine Corps, Confirmed","Marine Corps, Unconfirmed","Marine Corps, Returned",Total new nominations,Total confirmed,Total unconfirmed,Total withdrawn,Total rejected,Total returned,"Civilian, Carryover nominations","Air Force, Carryover nominations","Army, Carryover nominations","Army, Withdrawn","Navy, Carryover nominations","Navy, Withdrawn","Marine Corps, Carryover nominations",Total carryover nominations,"Air Force, Withdrawn","Marine Corps, Withdrawn","Space Force, New nominations","Space Force, Confirmed","Space Force, Unconfirmed","Space Force, Withdrawn","Space Force, Carryover nominations","Air Force, Failed","Civilian, Recess reappointments",Total recess reappointments,"Army, Failed","Civilian, Failed","Navy, Returned",Total failed
98,1,1983-01-03 00:00:00,1983-11-18 00:00:00,3454,2978,0,2,,0,12819,12792,26,0,14784,14782,,0,21994,21994,,2990,2990,,0,56041,55536,26,2,,0,0,,,,,,,,,,,,,,,1,0,0,2,474,0,477
98,2,1984-01-23 00:00:00,1984-10-12 00:00:00,4127,4001,107,2,,0,11818,11844,,0,14031,14031,,0,8855,8855,,2995,2995,,0,41826,41726,107,2,,0,0,26,,,,,,26,,,,,,,,,17,17,0,0,0,0
99,1,1985-01-03 00:00:00,1985-12-20 00:00:00,3719,3603,69,7,,0,21367,19013,2354,0,15370,14478,892,0,16721,16720,,2466,2104,362,0,59643,55918,3677,8,,0,0,,,,,1,,,,,,,,,,,6,6,0,34,0,34
99,2,1986-01-21 00:00:00,1986-10-18 00:00:00,2046,2037,70,8,,0,12246,14600,,0,9918,10810,,0,9952,9952,,2132,2494,,0,36294,39893,70,8,,0,69,2354,892,,,,362,3677,,,,,,,,,0,0,0,0,0,0
100,1,1987-01-06 00:00:00,1987-12-22 00:00:00,4718,4569,122,10,1,16,18667,15711,2955,1,14448,12086,2361,1,12101,12055,46,1995,1983,10,2,51929,46404,5494,10,1,20,0,,,,,,,,,,,,,,,,0,0,0,0,0,0
100,2,1988-01-25 00:00:00,1988-10-22 00:00:00,2670,2357,424,11,,0,12349,15304,,0,10500,12858,2,0,10159,10203,1,1586,1595,1,0,37264,42317,428,13,,0,122,2955,2361,1,46,1,10,5494,,,,,,,,,0,0,0,0,0,0
101,1,1989-01-03 00:00:00,1989-11-22 00:00:00,3564,3399,79,34,1,0,11421,11394,27,0,17754,15312,2441,0,12908,12704,204,2787,2776,11,0,48434,45585,2762,34,1,0,0,,,,,,,,,,,,,,,,0,0,1,51,0,52
101,2,1990-01-23 00:00:00,1990-10-28 00:00:00,2364,2145,287,11,,0,13373,11422,1977,0,15052,14567,2924,0,11370,11573,1,2775,2786,,0,44934,42493,5189,14,,0,79,27,2441,2,204,,11,2762,1,,,,,,,,0,0,0,0,0,0
102,1,1991-01-03 00:00:00,1992-01-03 00:00:00,3376,3256,101,9,,0,13777,13750,26,0,13137,13098,37,0,13541,13538,3,1538,1538,,0,45369,45180,167,12,,0,0,,,2,,,,,1,,,,,,,,0,0,0,10,0,10
102,2,1992-01-03 00:00:00,1992-10-09 00:00:00,2661,2541,193,4,,0,6708,6728,3,0,11201,11232,4,0,8001,7696,305,2506,2422,84,0,31077,30619,589,12,,0,101,26,37,2,3,3,,167,3,,,,,,,,0,0,0,0,0,0
103,1,1993-01-05 00:00:00,1993-11-24 00:00:00,2931,2700,210,8,,13,13741,13736,4,0,12714,11028,1686,0,11119,9584,657,1834,1628,15,0,42339,38676,2572,1078,,13,0,,,,,878,,,1,191,,,,,,,0,0,0,0,0,0
103,2,1994-01-25 00:00:00,1994-12-01 00:00:00,3029,3085,154,0,,0,9124,9126,2,0,10278,11960,4,0,11255,11901,9,1359,1374,0,0,35045,37446,169,2,,0,210,4,1686,,657,2,15,2572,,,,,,,,,0,0,0,0,0,0
104,1,1995-01-04 00:00:00,1996-01-03 00:00:00,2466,2016,439,10,,1,18521,13569,4952,0,12345,10041,2304,0,12106,12077,21,2841,2832,8,0,48279,40535,7724,11,,9,0,,,,,,,,,1,,,,,,,0,0,0,0,8,0
104,2,1996-01-03 00:00:00,1996-10-03 00:00:00,1781,1485,724,11,,0,6213,11159,6,0,8720,11018,6,0,7165,7175,11,2332,2339,1,0,26211,33176,748,11,,0,439,4952,2304,,21,,8,7724,,,,,,,,,0,0,0,0,0,0
105,1,1997-01-03 00:00:00,1997-11-13 00:00:00,3203,3380,210,13,,0,8141,8120,21,0,6244,6244,2,0,6157,6153,4,1679,1679,0,0,25828,25576,237,13,,2,0,,,,,,,,,,,,,,,,0,0,0,0,0,0
105,2,1998-01-27 00:00:00,1998-10-21 00:00:00,1782,1845,0,24,,120,6070,6087,,4,5479,5478,,3,5047,5045,,1847,1847,,0,20225,20302,,27,,133,210,21,2,,4,,,237,,,,,,,,,0,0,0,0,6,0
106,1,1999-01-06 00:00:00,1999-11-22 00:00:00,3259,2317,920,12,,10,6234,6219,15,0,5429,5225,204,0,6590,6580,10,2128,2127,1,0,23640,22468,1150,12,,10,0,,,,,,,,,,,,,,,,0,0,0,0,0,0
