Chamber,Congress,Session,Start Date,End Date,Days in session,Time in session,Pages of proceedings,Extensions of remarks,Public bills enacted into law,Private bills enacted into law,Bills in conference,"Measures passed, total","Measures passed, Senate bills","Measures passed, House bills","Measures passed, Senate joint resolutions","Measures passed, House joint resolutions","Measures passed, Senate concurrent resolutions","Measures passed, House concurrent resolutions","Measures passed, Simple resolutions","Measures reported, total","Measures reported, Senate bills","Measures reported, House bills","Measures reported, Senate joint resolutions","Measures reported, House joint resolutions","Measures reported, Senate concurrent resolutions","Measures reported, House concurrent resolutions","Measures reported, Simple resolutions",Special reports,Conference reports,Measures pending on calendar,"Measures introduced, total","Measures introduced, Bills","Measures introduced, Joint resolutions","Measures introduced, Concurrent resolutions","Measures introduced, Simple resolutions",Quorum calls,Yea-and-nay votes,Recorded votes,Bills vetoed,Vetoes overridden,Bills through conference,Bills not signed
House,98,1,1983-01-03 00:00:00,1983-11-18 00:00:00,146,851:45,10665,,114,6,2,611,70,234,46,49,16,31,165,497,23,327,,9,3,7,132,54,33,105,5642,4580,440,237,385,35,297,201,4,1,29,
Senate,98,1,1983-01-03 00:00:00,1983-11-18 00:00:00,150,1010:47,17224,,101,,3,596,170,99,89,34,25,15,164,570,270,44,87,9,19,2,139,25,4,155,2795,2198,209,86,302,18,381,,3,,4,
Total,98,1,1983-01-03 00:00:00,1983-11-18 00:00:00,,,27889,5985,215,6,5,1207,,,,,,,,1067,,,,,,,,,,,8437,,,,,,,,7,,33,
House,98,2,1984-01-23 00:00:00,1984-10-12 00:00:00,120,852:59,12293,,242,29,6,737,128,323,67,61,18,42,125,482,26,335,2,12,,2,105,45,53,122,2462,1862,223,142,235,55,227,181,9,1,30,
Senate,98,2,1984-01-23 00:00:00,1984-10-12 00:00:00,131,940:28,14650,,166,17,5,726,159,240,90,55,24,40,118,568,230,80,99,16,17,4,122,11,,221,1302,897,150,69,186,19,292,,8,,22,
Total,98,2,1984-01-23 00:00:00,1984-10-12 00:00:00,,,26896,4580,408,46,11,1463,,,,,,,,1050,,,,,,,,,,,3764,,,,,,,,17,,52,
House,99,1,1985-01-03 00:00:00,1985-12-20 00:00:00,152,965:16,13336,,130,,8,596,42,214,74,71,22,37,136,387,4,261,3,14,1,11,93,42,32,56,5126,4011,496,267,352,43,255,184,6,1,,
Senate,99,1,1985-01-03 00:00:00,1985-12-20 00:00:00,170,1252:31,18418,,110,,4,583,106,93,120,54,29,23,159,477,184,40,118,19,16,,100,18,2,94,2651,2000,255,102,294,20,381,,,,,
Total,99,1,1985-01-03 00:00:00,1985-12-20 00:00:00,,,31754,5852,240,,,1179,,,,,,,,864,,,,,,,,,,,7777,,,,,,,,6,1,,
House,99,2,1986-01-21 00:00:00,1986-10-18 00:00:00,129,829:11,11656,,237,17,16,772,103,289,101,79,16,49,135,452,21,315,2,13,,5,96,97,37,97,2396,1732,260,152,252,37,224,227,10,1,,
Senate,99,2,1986-01-21 00:00:00,1986-10-18 00:00:00,143,1278:15,17426,,187,7,1,747,164,209,120,74,28,34,118,546,243,93,111,23,6,7,63,15,,180,1429,954,177,73,225,16,359,,4,1,,
Total,99,2,1986-01-21 00:00:00,1986-10-18 00:00:00,,,29082,3830,424,24,,1519,,,,,,,,998,,,,,,,,,,,3825,,,,,,,,14,1,,
House,100,1,1987-01-06 00:00:00,1987-12-22 00:00:00,169,909:57,13078,,144,5,15,644,44,272,63,66,8,53,138,426,9,299,,9,,7,102,56,16,48,4857,3840,437,235,345,23,234,254,2,2,,
Senate,100,1,1987-01-06 00:00:00,1987-12-22 00:00:00,170,1214:52,18660,,96,2,6,616,110,135,91,48,25,31,176,398,183,59,72,6,11,5,62,28,1,76,2685,1998,239,95,353,36,420,,1,2,,
Total,100,1,1987-01-06 00:00:00,1987-12-22 00:00:00,,,31738,5016,240,7,,1260,,,,,,,,824,,,,,,,,,,,7542,,,,,,,,3,,,
House,100,2,1988-01-25 00:00:00,1988-10-22 00:00:00,129,749:01,11290,,280,31,4,858,131,330,85,70,32,46,164,636,34,360,2,5,1,5,95,85,49,88,2412,1745,241,163,263,14,308,143,10,,,
Senate,100,2,1988-01-25 00:00:00,1988-10-22 00:00:00,137,1126:52,17397,,193,10,3,814,188,273,106,51,52,32,112,511,262,100,88,3,14,1,43,13,,108,1328,932,156,74,166,26,379,,6,,,
Total,100,2,1988-01-25 00:00:00,1988-10-22 00:00:00,,,28687,3776,473,41,,1672,,,,,,,,1147,,,,,,,,,,,3740,,,,,,,,16,,,
House,101,1,1989-01-03 00:00:00,1989-11-22 00:00:00,147,748:54,9746,4144,150,2,6,598,26,246,64,55,28,32,147,337,4,251,1,5,,1,75,26,31,34,4842,3846,454,241,301,11,226,142,9,,,
Senate,101,1,1989-01-03 00:00:00,1989-11-22 00:00:00,136,1003:19,16944,,90,,30,605,121,128,106,50,39,22,139,387,198,45,84,5,12,0,44,22,,109,2548,2000,234,87,227,11,312,,,,,
Total,101,1,1989-01-03 00:00:00,1989-11-22 00:00:00,,,26690,4144,240,2,,1203,,,,,,,,724,,,,,,,,,,,7390,,,,,,,,,,,
House,101,2,1990-01-23 00:00:00,1990-10-28 00:00:00,134,939:17,13445,3726,231,6,11,772,131,313,76,57,10,46,140,501,37,335,1,7,0,6,115,75,56,68,2769,2131,233,160,245,26,271,239,8,4,33,
Senate,101,2,1990-01-23 00:00:00,1990-10-28 00:00:00,138,1250:14,18352,,179,8,50,716,212,218,98,47,29,26,86,509,314,82,71,4,18,2,18,9,,218,1636,1281,154,72,129,3,326,,3,0,16,
Total,101,2,1990-01-23 00:00:00,1990-10-28 00:00:00,,,31797,3726,410,14,,1488,,,,,,,,,,,,,,,,,,,4405,,,,,,,,11,,,
House,102,1,1991-01-03 00:00:00,1992-01-03 00:00:00,154,938:34,12063,,162,1,11,592,47,236,42,67,13,46,141,365,10,252,,7,,3,93,26,33,28,5057,4085,387,263,322,16,238,190,2,,,
Senate,102,1,1991-01-03 00:00:00,1992-01-03 00:00:00,158,1200:44,18853,,81,1,5,626,169,127,79,57,30,25,139,351,220,44,28,1,12,3,43,20,1,92,2701,2136,238,86,241,3,280,,1,,,11
Total,102,1,1991-01-03 00:00:00,1992-01-03 00:00:00,,,30916,4262,243,2,16,1218,,,,,,,,716,,,,,,,,,,,7758,,,,,,,,3,,,
House,102,2,1992-01-03 00:00:00,1992-10-09 00:00:00,123,856:58,12611,3332,234,14,6,746,112,344,25,59,16,39,151,553,31,389,,7,,9,117,50,53,108,2714,2127,176,121,290,15,271,202,13,2,,
Senate,102,2,1992-01-03 00:00:00,1992-10-09 00:00:00,129,1091:09,18344,,113,4,1,651,191,229,44,51,28,24,84,368,210,78,46,11,8,2,13,9,,178,1544,1256,108,57,123,5,270,,8,,,
Total,102,2,1992-01-03 00:00:00,1992-10-09 00:00:00,,,30955,3332,347,18,7,1397,,,,,,,,921,,,,,,,,,,,4258,,,,,,,,21,,,
House,103,1,1993-01-05 00:00:00,1993-11-26 00:00:00,142,981:55,11002,3134,127,,4,547,42,246,36,30,16,29,128,372,11,239,2,3,,8,109,13,28,24,4543,3720,303,196,324,18,266,331,,,,
Senate,103,1,1993-01-05 00:00:00,1993-11-26 00:00:00,153,1269:42,17241,,83,,,473,131,113,61,26,29,20,93,295,175,38,35,,9,1,37,22,,97,2178,1785,160,57,176,2,395,,,,,
Total,103,1,1993-01-05 00:00:00,1993-11-26 00:00:00,,,18243,3134,210,,,1010,,,,,,,,667,,,,,,,,,,,6721,,,,,,,,,,,
House,103,2,1994-01-25 00:00:00,1994-12-01 00:00:00,123,904:46,11573,2340,168,6,5,579,75,266,27,27,9,39,136,392,26,260,,3,,3,97,30,42,88,2104,1590,126,123,265,10,205,292,,,,
Senate,103,2,1994-01-25 00:00:00,1994-12-01 00:00:00,138,1243:33,15471,,87,1,3,465,126,165,44,16,8,24,82,313,195,83,16,,2,2,15,11,,266,999,788,72,23,116,6,329,,,,,
Total,103,2,1994-01-25 00:00:00,1994-12-01 00:00:00,,,27044,2340,255,7,8,1044,,,,,,,,705,,,,,,,,,,,3103,,,,,,,,,,,
House,104,1,1995-01-04 00:00:00,1996-01-03 00:00:00,168,1525:25,15658,2455,60,,,483,34,214,,15,10,27,183,400,8,236,,7,,3,146,12,32,50,3430,2840,137,130,324,18,299,568,9,1,,
Senate,104,1,1995-01-04 00:00:00,1996-01-03 00:00:00,211,1839:10,19345,,28,,,346,77,80,7,11,14,18,139,249,166,35,8,7,7,1,25,16,0,162,1801,1514,45,36,206,3,613,,,,,
Total,104,1,1995-01-04 00:00:00,1996-01-03 00:00:00,,,35003,2455,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House,104,2,1996-01-03 00:00:00,1996-10-04 00:00:00,122,919:12,12304,1951,192,3,8,529,50,276,4,18,11,41,129,371,8,255,0,5,0,7,96,38,34,74,1899,1504,61,102,232,1,223,231,6,,,
Senate,104,2,1996-01-03 00:00:00,1996-10-04 00:00:00,132,1036:45,12471,,53,,2,476,149,178,3,13,20,25,88,260,181,63,1,1,4,1,9,15,1,267,860,687,20,36,117,2,306,,0,0,,
Total,104,2,1996-01-03 00:00:00,1996-10-04 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House,105,1,1997-01-03 00:00:00,1997-11-13 00:00:00,132,1003:42,10963,2425,104,3,2,544,50,243,3,19,13,46,170,374,4,244,1,11,,9,105,13,20,40,3728,3088,106,200,334,7,285,348,3,,,
Senate,105,1,1997-01-03 00:00:00,1997-11-13 00:00:00,153,1093:07,12724,,49,1,,385,121,101,5,17,30,19,93,248,159,32,2,2,13,2,38,22,,111,1840,1568,39,70,163,6,298,,,,,
Total,105,1,1997-01-03 00:00:00,1997-11-13 00:00:00,,,,,153,4,,929,,,,,,,,622,,,,,,,,,,,5568,,,,,,,,,,,
House,105,2,1998-01-27 00:00:00,1998-10-21 00:00:00,119,997:42,12048,2367,150,6,5,642,92,287,4,12,11,52,184,378,6,241,,4,,9,118,40,26,87,2254,1786,34,154,280,14,257,276,4,2,,
Senate,105,2,1998-01-27 00:00:00,1998-10-21 00:00:00,143,1095:05,13004,,91,,,506,171,157,4,10,30,25,109,363,245,79,7,1,9,1,21,19,,246,1321,1090,21,60,150,4,314,,,,,
Total,105,2,1998-01-27 00:00:00,1998-10-21 00:00:00,,,,,241,6,,1148,,,,,,,,741,,,,,,,,,,,3575,,,,,,,,,,,
House,106,1,1999-01-06 00:00:00,1999-11-22 00:00:00,137,1125,12908,2537,122,1,10,657,55,292,,21,6,70,213,450,10,279,,9,,13,139,12,26,59,4241,3517,85,239,400,2,320,289,5,,,
Senate,106,1,1999-01-06 00:00:00,1999-11-22 00:00:00,162,1183:57,15226,,48,2,30,549,182,132,2,18,24,33,158,348,245,40,4,3,6,2,48,18,,142,2352,1997,37,77,241,7,374,,,,,
Total,106,1,1999-01-06 00:00:00,1999-11-22 00:00:00,,,,,170,3,,1206,,,,,,,,795,,,,,,,,,,,6593,,,,,,,,,,,
